Date,Open,High,Low,Close,Volume
2020-02-10,186.17,189.27,185.56,189.12,3873500
2020-02-11,191.48,192.6,188.65,189.11,4299200
2020-02-12,189.71,190.52,186.77,189.46,4535400
2020-02-13,188.5,191.05,188.42,188.64,3132100
2020-02-14,189.35,190.25,188.1,189.95,3599400
2020-02-18,190.95,191.5,188.92,191.09,4957000
2020-02-19,192.0,193.92,191.8,192.87,3903200
2020-02-20,194.0,195.72,189.77,193.36,5451200
2020-02-21,191.84,192.04,186.72,189.5,5242100
2020-02-24,178.79,187.15,178.79,185.94,8463300
2020-02-25,188.47,189.98,179.43,181.27,11361100
2020-02-26,176.54,182.67,174.25,178.87,13923100
2020-02-27,172.21,178.33,170.05,172.15,9922400
2020-02-28,164.99,171.77,163.12,170.4,12643600
2020-03-02,172.2,176.79,168.59,176.76,7761000
2020-03-03,178.41,178.42,167.09,169.37,8323500
2020-03-04,172.25,175.81,169.63,175.69,5846300
2020-03-05,172.57,173.75,168.1,169.6,5797500
2020-03-06,165.67,167.57,158.54,164.08,9757700
2020-03-09,151.7,157.71,150.64,151.21,9657100
2020-03-10,157.23,161.47,151.0,161.34,11443900
2020-03-11,157.68,159.62,150.15,154.57,10341300
2020-03-12,144.34,151.23,140.1,140.59,13213000
2020-03-13,149.47,149.5,135.32,147.78,13765400
2020-03-16,134.01,141.55,123.39,124.3,13845300
2020-03-17,127.0,138.01,122.92,135.42,12191500
2020-03-18,125.54,133.42,115.29,132.24,12988200
2020-03-19,131.59,144.0,128.86,139.46,10444000
2020-03-20,140.42,146.2,134.6,139.35,12450100
2020-03-23,138.76,143.72,134.09,140.52,11898300
2020-03-24,144.63,154.14,143.18,153.64,11834400
2020-03-25,152.67,158.02,146.96,147.06,10639300
2020-03-26,148.3,155.08,147.73,154.73,8573100
2020-03-27,150.63,151.45,144.91,146.0,8273500
2020-03-30,147.72,153.0,146.56,149.85,7650400
2020-03-31,149.03,151.95,142.78,143.98,10429700
2020-04-01,138.32,139.06,133.1,134.06,8737600
2020-04-02,134.01,135.39,130.04,134.32,8150500
2020-04-03,134.45,136.19,131.66,134.31,6004400
2020-04-06,139.0,149.85,138.3,147.55,12296800
2020-04-07,150.33,150.8,144.51,145.07,7859500
2020-04-08,146.3,152.16,145.0,151.12,7665500
2020-04-09,152.39,156.1,151.68,154.55,7094600
2020-04-13,154.12,155.31,150.0,152.5,5138600
2020-04-14,155.71,158.79,155.15,157.71,7334300
2020-04-15,155.08,157.27,154.0,155.63,4042600
2020-04-16,157.0,158.0,154.25,157.06,4391500
2020-04-17,160.0,163.26,157.63,162.62,7312900
