Date,Open,High,Low,Close,Volume
2020-02-10,63.18,64.12,63.08,64.07,812900
2020-02-11,64.11,64.91,64.07,64.19,788300
2020-02-12,64.73,65.78,64.44,65.17,932600
2020-02-13,64.8,66.39,64.77,66.12,1538600
2020-02-14,66.32,66.96,65.46,66.11,1006300
2020-02-18,65.94,66.31,65.4,65.49,1265900
2020-02-19,65.61,65.81,64.76,65.17,863800
2020-02-20,64.9,65.97,64.9,65.36,786900
2020-02-21,64.91,65.53,63.95,65.43,926500
2020-02-24,63.48,63.83,62.2,63.01,1285400
2020-02-25,63.17,63.21,58.66,58.81,1685800
2020-02-26,59.37,59.66,57.2,57.37,1813900
2020-02-27,54.79,56.68,52.91,52.96,2704600
2020-02-28,51.09,52.01,49.45,50.46,3535300
2020-03-02,50.85,51.3,48.38,50.03,3075000
2020-03-03,50.47,50.47,46.3,47.37,3415200
2020-03-04,48.19,49.71,46.57,49.69,3480600
2020-03-05,47.66,47.66,43.36,43.46,3859200
2020-03-06,41.5,48.4,41.4,45.21,5041700
2020-03-09,43.16,45.19,42.14,43.19,3413800
2020-03-10,45.31,47.69,43.37,46.78,3140000
2020-03-11,45.1,46.04,43.37,45.7,3184800
2020-03-12,40.11,43.4,35.01,35.08,4731500
2020-03-13,38.1,38.1,33.0,37.95,3947800
2020-03-16,32.02,34.4,28.92,32.53,4456900
2020-03-17,33.06,36.2,31.28,32.53,3707600
2020-03-18,29.53,30.04,20.02,25.13,5067400
2020-03-19,24.7,25.99,22.01,24.18,2901100
2020-03-20,25.71,27.97,23.34,23.56,4062500
2020-03-23,24.0,24.98,22.15,24.03,3694600
2020-03-24,29.44,31.26,27.38,28.91,4750600
2020-03-25,33.56,34.25,28.36,29.84,7739400
2020-03-26,31.91,33.37,30.02,32.49,4914800
2020-03-27,31.73,31.9,29.78,29.87,3546900
2020-03-30,29.13,29.95,26.55,28.33,2841700
2020-03-31,28.96,30.71,28.13,28.47,2667000
2020-04-01,26.92,27.55,25.25,26.35,3350000
2020-04-02,26.14,27.02,24.28,24.66,3065200
2020-04-03,25.16,25.65,23.58,24.69,2707500
2020-04-06,26.04,27.27,24.92,26.67,3724700
2020-04-07,29.34,31.77,28.54,29.03,3766500
2020-04-08,30.2,30.32,28.95,29.14,2940100
2020-04-09,31.24,33.6,30.39,31.61,4210900
2020-04-13,32.63,32.86,28.61,29.51,3181800
2020-04-14,30.58,31.92,30.42,31.05,2789900
2020-04-15,32.24,32.42,29.0,30.08,4253000
2020-04-16,29.24,29.45,27.51,28.26,3274700
2020-04-17,29.69,30.28,29.31,29.93,2491800
