Date,Open,High,Low,Close,Volume
2020-02-10,294.36,295.56,293.5,294.41,1219500
2020-02-11,296.9,298.74,295.09,296.0,3528500
2020-02-12,297.63,298.29,291.53,293.28,1871800
2020-02-13,292.64,293.62,290.56,291.38,2215300
2020-02-14,292.92,300.07,292.09,298.92,1494500
2020-02-18,299.0,300.07,296.91,299.92,813600
2020-02-19,301.68,305.45,300.5,303.2,1339000
2020-02-20,304.0,305.39,297.73,300.46,698100
2020-02-21,300.0,301.43,294.79,295.94,722400
2020-02-24,288.34,289.67,279.0,281.12,1443900
2020-02-25,282.65,282.99,269.04,269.95,1604900
2020-02-26,271.96,280.78,271.05,274.7,1423800
2020-02-27,268.49,273.64,258.97,259.93,2319000
2020-02-28,253.74,265.88,252.43,265.67,2678200
2020-03-02,268.02,278.39,265.35,278.28,1768200
2020-03-03,277.4,285.34,270.72,273.0,1353700
2020-03-04,276.0,282.42,273.1,282.13,956000
2020-03-05,273.95,280.02,272.37,276.02,1079400
2020-03-06,265.96,275.82,265.96,274.42,1117600
2020-03-09,257.64,268.38,255.36,259.8,1678600
2020-03-10,266.8,270.69,257.23,268.15,1466500
2020-03-11,261.43,263.93,241.47,246.01,1860200
2020-03-12,229.83,235.6,222.32,223.28,2318800
2020-03-13,232.53,235.5,211.24,233.33,2480900
2020-03-16,210.3,228.54,205.78,211.02,1908100
2020-03-17,214.89,232.47,207.49,225.76,1701200
2020-03-18,214.42,224.99,196.78,209.2,1885500
2020-03-19,208.15,229.8,199.0,224.8,1738300
2020-03-20,232.24,252.95,229.0,242.0,3159500
2020-03-23,239.64,250.0,234.54,237.76,2088000
2020-03-24,247.59,255.0,243.87,254.18,1758600
2020-03-25,251.14,259.21,247.31,248.32,1722500
2020-03-26,252.12,276.62,250.43,274.42,1792100
2020-03-27,264.52,270.49,259.71,269.05,1360700
2020-03-30,266.79,277.32,266.04,276.23,1717300
2020-03-31,271.35,276.06,267.9,273.12,1686200
2020-04-01,265.92,270.0,251.14,256.46,1915300
2020-04-02,254.4,273.84,254.16,272.99,1258600
2020-04-03,270.35,274.33,259.45,263.5,871800
2020-04-06,271.43,279.1,269.5,278.01,1418700
2020-04-07,284.63,286.63,280.4,280.64,1505400
2020-04-08,281.62,283.41,276.17,280.99,1430400
2020-04-09,281.56,287.76,279.46,287.62,1201200
2020-04-13,281.94,289.87,281.5,289.45,1119200
2020-04-14,292.54,299.71,292.08,297.88,1133300
2020-04-15,290.33,295.9,288.26,294.29,1113100
2020-04-16,300.64,304.24,294.04,303.5,946400
2020-04-17,309.57,317.21,306.42,316.36,1277900
