Date,Open,High,Low,Close,Volume
2020-02-10,332.0,339.56,330.24,338.93,1867000
2020-02-11,338.06,340.05,329.72,332.29,1806200
2020-02-12,331.66,334.71,329.04,331.76,1603000
2020-02-13,329.2,338.88,329.0,334.25,1307300
2020-02-14,334.0,335.4,331.83,333.0,1023200
2020-02-18,343.66,344.0,334.09,337.1,1515100
2020-02-19,338.0,341.77,335.42,341.04,1488400
2020-02-20,342.18,343.0,332.5,336.64,1497800
2020-02-21,336.97,337.82,334.6,336.71,923200
2020-02-24,331.5,336.0,325.42,325.98,1732500
2020-02-25,327.2,330.61,322.7,324.11,1831100
2020-02-26,326.98,330.93,323.61,327.45,1411300
2020-02-27,324.72,325.55,309.63,310.08,2221100
2020-02-28,300.23,310.54,299.0,308.39,2396700
2020-03-02,308.64,328.23,307.83,327.89,2364600
2020-03-03,320.28,333.0,311.87,315.78,2036100
2020-03-04,319.29,328.45,316.41,328.45,1752300
2020-03-05,319.73,326.45,315.0,317.7,1470400
2020-03-06,308.27,319.18,306.17,317.95,1513000
2020-03-09,301.0,306.97,293.76,297.19,2149500
2020-03-10,304.49,308.77,289.58,305.63,2378600
2020-03-11,295.99,303.36,291.96,294.25,1878900
2020-03-12,280.0,285.42,266.01,268.88,2901000
2020-03-13,279.14,306.0,276.24,305.21,3641100
2020-03-16,281.86,309.35,273.59,281.72,3862600
2020-03-17,285.33,314.65,284.14,305.32,2625900
2020-03-18,293.71,306.74,277.51,298.68,2767300
2020-03-19,293.15,297.48,283.28,288.02,2470000
2020-03-20,288.02,301.88,277.81,278.77,2730000
2020-03-23,283.35,288.06,262.25,269.19,2695400
2020-03-24,278.89,283.26,269.98,276.19,3464100
2020-03-25,274.73,300.84,268.13,284.98,2678900
2020-03-26,284.74,306.77,284.51,304.94,2270100
2020-03-27,297.0,307.14,294.25,296.75,1653100
2020-03-30,300.0,321.41,298.08,316.13,1747300
2020-03-31,313.48,319.94,309.2,316.38,2869100
2020-04-01,308.81,313.46,290.35,293.27,2177500
2020-04-02,290.1,307.15,290.0,304.47,3286600
2020-04-03,303.7,311.52,296.81,300.51,1422800
2020-04-06,308.49,314.14,300.6,311.39,3181100
2020-04-07,314.94,319.6,299.61,301.21,2457700
2020-04-08,305.25,319.39,301.01,316.95,1932300
2020-04-09,315.1,322.45,314.01,321.05,1480300
2020-04-13,318.01,325.11,316.79,322.94,2083700
2020-04-14,329.0,336.5,328.34,333.76,1675500
2020-04-15,329.45,333.2,322.86,326.94,1426400
2020-04-16,331.15,340.38,328.17,338.34,1602600
2020-04-17,345.97,346.05,335.29,342.55,1701800
